		Book Issue
Memb.NO,Acq,Acc.NO,BookIssuedOn,DateOfReturn
M0001,A0001,AC0001,9/2/2022,8/2/2022
M0002,A0002,AC0002,3/2/2023,1/2/2024
M0003,A0003,AC0003,5/2/2024,9/1/2024
M0004,A0004,AC0004,2/3/2024,5/3/2024
M0005,A0005,AC0005,7/5/2024,3/5/2024
M0006,A0006,AC0006,8/3/2024,6/3/2024
M0007,A0007,AC0007,9/5/2022,1/6/2022
M0008,A0008,AC0008,7/4/2024,8/4/2024
M0009,A0009,AC0009,6/5/2024,7/5/2024
M0010,A0010,AC0010,7/5/2024,3/5/2024
M0003,A0015,AC0015,7/5/2025,9/5/2024
M0019,A0036,AC0036,26/5/2024,29/5/2024
